Rank,index,RA,Dec,Probability
90,27164,294.458029,-86.464466,0.001409870985254236
91,22504,305.924461,-86.464466,0.0013380519064643479
92,31545,317.390892,-86.464466,0.001335814682343797
93,32539,328.857323,-86.464466,0.001319670673633282
94,29584,340.323755,-86.464466,0.0012537709063400089
95,33035,351.790186,-86.464466,0.0011289001515475043
96,20718,5.183207,-85.757359,0.0010360502408306826
97,20719,14.741236,-85.757359,0.0010187069169387774
98,33535,24.299265,-85.757359,0.0010012415096669622
99,29093,33.857294,-85.757359,0.0009721710259918311
100,21161,43.415323,-85.757359,0.0009439875286723947
101,30563,52.973351,-85.757359,0.0009065347883088083
102,26687,62.53138,-85.757359,0.0008805784077838865
103,20279,72.089409,-85.757359,0.0008562050756797148
104,24802,81.647438,-85.757359,0.0008290535711886766
105,22957,91.205467,-85.757359,0.0007899615932914359
106,28124,100.763495,-85.757359,0.000780393659663916
107,33534,110.321524,-85.757359,0.0007638492182517518
108,19842,119.879553,-85.757359,0.0007557251582695104
109,22052,129.437582,-85.757359,0.0007536739669196048
110,25744,138.995611,-85.757359,0.0007248372355175472
111,20278,148.55364,-85.757359,0.0007095752163944976
112,31055,158.111668,-85.757359,0.0006846552307481835
113,21604,167.669697,-85.757359,0.0006715687193856705
114,32043,177.227726,-85.757359,0.0006453910843651154
115,24337,186.785755,-85.757359,0.0006149843096610768
116,22055,196.343784,-85.757359,0.0006081032296568322
117,25270,205.901812,-85.757359,0.000606733107272711
118,30068,215.459841,-85.757359,0.0006057690553323791
119,21159,225.01787,-85.757359,0.0005569178336555243
120,33037,234.575899,-85.757359,0.0005534991906193084
121,34035,244.133928,-85.757359,0.0004986372769233097
122,21607,253.691956,-85.757359,0.0004933380589714625
123,26217,263.249985,-85.757359,0.00048036608056953593
124,19409,272.808014,-85.757359,0.0004726746579456972
125,20717,282.366043,-85.757359,0.0004706444899256304
126,22507,291.924072,-85.757359,0.00046210082861134844
127,28129,301.482101,-85.757359,0.00045477944508944836
128,32536,311.040129,-85.757359,0.00043872209757950676
129,33536,320.598158,-85.757359,0.00042877581529197076
130,26212,330.156187,-85.757359,0.0004178729600545554
131,26692,339.714216,-85.757359,0.00041414033491023715
132,19841,349.272245,-85.757359,0.000408306171382157
133,18980,358.830273,-85.757359,0.0003874484070208631
134,18979,1.357592,-85.050253,0.0003659324110211905
135,19410,9.552893,-85.050253,0.00035372993669125305
136,30073,17.748194,-85.050253,0.00034710508141655834
137,34034,25.943496,-85.050253,0.00034172461141904534
138,19843,34.138797,-85.050253,0.000319568467111527
139,19408,42.334098,-85.050253,0.00031321730026778245
140,29098,50.5294,-85.050253,0.00030296473509501304
141,18553,58.724701,-85.050253,0.00030264394722025027
142,23874,66.920002,-85.050253,0.0002974472516889784
143,33034,75.115304,-85.050253,0.0002936117434610643
144,34536,83.310605,-85.050253,0.00028152138992118135
145,31549,91.505906,-85.050253,0.0002785809192227807
146,34036,99.701208,-85.050253,0.0002728737899456889
147,29579,107.896509,-85.050253,0.000266132316060105
148,20277,116.09181,-85.050253,0.0002642252917175913
149,18554,124.287112,-85.050253,0.0002549961804085826
150,30558,132.482413,-85.050253,0.00023694492008720204
151,22961,140.677714,-85.050253,0.00023335686853297278
152,20280,148.873016,-85.050253,0.0002303218083945785
153,32039,157.068317,-85.050253,0.00022904697420518996
154,27169,165.263618,-85.050253,0.00022415321391639251
155,18130,173.458919,-85.050253,0.00021792195956146543
156,33533,181.654221,-85.050253,0.00021381396953918871
157,27642,189.849522,-85.050253,0.00021045311336533157
158,34535,198.044823,-85.050253,0.0002077730121548073
159,28613,206.240125,-85.050253,0.00020694209994656212
160,23419,214.435426,-85.050253,0.00020375892805308917
161,20720,222.630727,-85.050253,0.00020207306961370186
162,22503,230.826029,-85.050253,0.0001991955829583243
163,18131,239.02133,-85.050253,0.0001864926282232569
164,17711,247.216631,-85.050253,0.00018569547879462273
165,32540,255.411933,-85.050253,0.00017931233863055892
166,25275,263.607234,-85.050253,0.00017342093210630325
167,35038,271.802535,-85.050253,0.00016671132752755897
168,23414,279.997837,-85.050253,0.00016648666304939805
169,21162,288.193138,-85.050253,0.00014893612512011022
170,17295,296.388439,-85.050253,0.00013741248066990438
171,31544,304.583741,-85.050253,0.00013629975991142303
172,23879,312.779042,-85.050253,0.00013326775513359894
173,16474,320.974343,-85.050253,0.00013192658151859498
174,25739,329.169645,-85.050253,0.00013029164572752466
175,17296,337.364946,-85.050253,0.00012840732553700358
176,34537,345.560247,-85.050253,0.00012611035875031206
177,31050,353.755548,-85.050253,0.00012043767769958825
178,18981,1.697735,-84.343146,0.00011448651849450552
179,15668,8.871356,-84.343146,0.00011385202965527823
180,16069,16.044977,-84.343146,0.00010811999049965585
181,28607,23.218598,-84.343146,0.00010758376741136079
182,27648,30.39222,-84.343146,0.00010717375424254194
183,16883,37.565841,-84.343146,0.0001050186555269729
184,35037,44.739462,-84.343146,0.00010374116867053955
185,16070,51.913083,-84.343146,0.00010200746263166465
186,17710,59.086705,-84.343146,0.00010005190133084324
187,17712,66.260326,-84.343146,9.769376035812703e-05
188,35039,73.433947,-84.343146,9.745012015352553e-05
189,24342,80.607568,-84.343146,9.634091240533975e-05
190,14878,87.781189,-84.343146,9.510521063166375e-05
191,16882,94.954811,-84.343146,9.29539572325096e-05
192,22056,102.128432,-84.343146,8.961450655629536e-05
193,16884,109.302053,-84.343146,8.921408691082128e-05
194,18552,116.475674,-84.343146,8.807401501883842e-05
195,34033,123.649295,-84.343146,8.748428327830045e-05
196,24807,130.822917,-84.343146,8.485915351812624e-05
197,15669,137.996538,-84.343146,8.261488641882971e-05
198,14489,145.170159,-84.343146,8.175408825275226e-05
199,35541,152.34378,-84.343146,7.964006941232626e-05
200,18978,159.517402,-84.343146,7.922871589676585e-05
201,14879,166.691023,-84.343146,7.713805410551515e-05
202,19844,173.864644,-84.343146,7.64191503689395e-05
203,15272,181.038265,-84.343146,7.43765323165747e-05
204,16475,188.211886,-84.343146,6.889380710280929e-05
205,14105,195.385508,-84.343146,6.763949316297509e-05
206,18129,202.559129,-84.343146,6.67297101928424e-05
207,21608,209.73275,-84.343146,6.66747671362414e-05
208,21158,216.906371,-84.343146,6.458314907442601e-05
209,13724,224.079992,-84.343146,6.384192030880144e-05
210,18555,231.253614,-84.343146,6.340715357813357e-05
211,35540,238.427235,-84.343146,6.239938649224779e-05
212,19411,245.600856,-84.343146,6.147265730486133e-05
213,15271,252.774477,-84.343146,5.94196403633039e-05
214,14490,259.948098,-84.343146,5.7524339459398335e-05
215,34534,267.12172,-84.343146,5.524659842824378e-05
216,33537,274.295341,-84.343146,5.502301887184695e-05
217,15667,281.468962,-84.343146,5.371887958989067e-05
218,29585,288.642583,-84.343146,5.3663396653855375e-05
219,8543,295.816205,-84.343146,5.259255923149188e-05
220,16473,302.989826,-84.343146,5.2146021733711475e-05
221,8236,310.163447,-84.343146,5.165115161479891e-05
222,8235,317.337068,-84.343146,5.0051409168380214e-05
223,13347,324.510689,-84.343146,4.856694526991796e-05
224,18132,331.684311,-84.343146,4.815684730625437e-05
225,20716,338.857932,-84.343146,4.7015802280202196e-05
226,7933,346.031553,-84.343146,4.652548821082884e-05
227,8856,353.205174,-84.343146,4.5921537615289034e-05
228,8544,5.22863,-83.636039,4.5785411351004945e-05
229,29092,11.607936,-83.636039,4.441908970160656e-05
230,36044,17.987243,-83.636039,4.3581793218157114e-05
231,32044,24.366549,-83.636039,4.321030323254614e-05
232,17294,30.745856,-83.636039,4.237051484286546e-05
233,14877,37.125162,-83.636039,4.225506332137543e-05
234,22051,43.504469,-83.636039,4.2081683428992224e-05
235,15273,49.883775,-83.636039,4.205850667616371e-05
236,13725,56.263082,-83.636039,4.099930298338319e-05
237,16068,62.642389,-83.636039,4.098479179754901e-05
238,14106,69.021695,-83.636039,4.071849119889151e-05
239,6775,75.401002,-83.636039,4.035031421510581e-05
240,32535,81.780308,-83.636039,4.0249030367697086e-05
241,19840,88.159615,-83.636039,4.017176455580842e-05
242,35542,94.538921,-83.636039,4.008449900828544e-05
243,7636,100.918228,-83.636039,3.98985841243229e-05
244,7057,107.297534,-83.636039,3.921338678195596e-05
245,26686,113.676841,-83.636039,3.855915135907859e-05
246,12975,120.056148,-83.636039,3.781916524811418e-05
247,25745,126.435454,-83.636039,3.745280036786959e-05
248,7343,132.814761,-83.636039,3.674014770443409e-05
249,14104,139.194067,-83.636039,3.659892657348665e-05
250,33038,145.573374,-83.636039,3.5701744384526454e-05
251,7344,151.95268,-83.636039,3.556895659068295e-05
252,7635,158.331987,-83.636039,3.478353728680032e-05
253,24801,164.711293,-83.636039,3.459592390530449e-05
254,9174,171.0906,-83.636039,3.4263006404055394e-05
255,12974,177.469907,-83.636039,3.4011488603434313e-05
256,27163,183.849213,-83.636039,3.2897626060486175e-05
257,36045,190.22852,-83.636039,3.2552574800092685e-05
258,28123,196.607826,-83.636039,3.234923400203429e-05
259,13723,202.987133,-83.636039,3.20353721851215e-05
260,19407,209.366439,-83.636039,3.157285047505639e-05
261,6498,215.745746,-83.636039,3.155292574783793e-05
262,33033,222.125053,-83.636039,3.1156266273134196e-05
263,12606,228.504359,-83.636039,3.066700622693098e-05
264,31056,234.883666,-83.636039,3.0653068131798766e-05
265,13346,241.262972,-83.636039,3.026136618106328e-05
266,8855,247.642279,-83.636039,2.9895750003418926e-05
267,14488,254.021585,-83.636039,2.9267719380327873e-05
268,12243,260.400892,-83.636039,2.8740499960666308e-05
269,17297,266.780198,-83.636039,2.856688485571582e-05
270,9173,273.159505,-83.636039,2.825723971334608e-05
271,8542,279.538812,-83.636039,2.8095519028791186e-05
272,24336,285.918118,-83.636039,2.795215473996161e-05
273,6499,292.297425,-83.636039,2.7268309351819244e-05
274,7932,298.676731,-83.636039,2.6519586335779813e-05
275,13348,305.056038,-83.636039,2.6457294016625853e-05
276,9496,311.435344,-83.636039,2.5808818047236922e-05
277,36549,317.814651,-83.636039,2.4964253973951164e-05
278,6774,324.193957,-83.636039,2.4781913092472396e-05
279,21603,330.573264,-83.636039,2.4778310304032763e-05
280,16071,336.952571,-83.636039,2.4692732036382643e-05
281,22508,343.331877,-83.636039,2.4416822930613503e-05
282,9497,349.711184,-83.636039,2.4109340836502108e-05
283,33532,356.09049,-83.636039,2.4002954085983434e-05
284,11883,2.703744,-82.928932,2.3945499535719883e-05
285,35036,8.447892,-82.928932,2.3669425364179836e-05
286,25269,14.19204,-82.928932,2.317745032653647e-05
287,12607,19.936188,-82.928932,2.3156883933836306e-05
288,9823,25.680337,-82.928932,2.2675176702099644e-05
289,7056,31.424485,-82.928932,2.249166305298246e-05
290,16476,37.168633,-82.928932,2.2276045930692506e-05
291,15670,42.912781,-82.928932,2.18564854448728e-05
292,5961,48.65693,-82.928932,2.1542891487363404e-05
293,36043,54.401078,-82.928932,2.1444400310186285e-05
294,26218,60.145226,-82.928932,2.1421979663459673e-05
295,36550,65.889374,-82.928932,2.139923650697822e-05
296,6227,71.633523,-82.928932,2.1249841421762943e-05
297,7934,77.377671,-82.928932,2.1236537899287962e-05
298,14491,83.121819,-82.928932,2.040181818093809e-05
299,22956,88.865967,-82.928932,2.039216243537621e-05
300,8857,94.610116,-82.928932,2.034920234928658e-05
301,30067,100.354264,-82.928932,2.03362871370843e-05
302,11178,106.098412,-82.928932,1.9977166187449424e-05
303,20281,111.84256,-82.928932,1.98356029171723e-05
304,10154,117.586709,-82.928932,1.9183656973970284e-05
305,12976,123.330857,-82.928932,1.916264889881718e-05
306,10155,129.075005,-82.928932,1.9147288516875462e-05
307,12242,134.819153,-82.928932,1.890325311005755e-05
308,6776,140.563302,-82.928932,1.877157283699573e-05
309,8237,146.30745,-82.928932,1.8418707174920848e-05
310,34037,152.051598,-82.928932,1.829661877944667e-05
311,10491,157.795746,-82.928932,1.8131725008960392e-05
312,35040,163.539895,-82.928932,1.8004398196070974e-05
313,5962,169.284043,-82.928932,1.7694275697057123e-05
314,28130,175.028191,-82.928932,1.7556796230613987e-05
315,16881,180.772339,-82.928932,1.7073402111118516e-05
316,11528,186.516488,-82.928932,1.6947363098997506e-05
317,6228,192.260636,-82.928932,1.683897271529284e-05
318,17713,198.004784,-82.928932,1.6779499570865148e-05
319,21163,203.748932,-82.928932,1.6545725372728058e-05
320,9175,209.493081,-82.928932,1.6274661603427822e-05
321,9824,215.237229,-82.928932,1.6246492802800947e-05
322,34538,220.981377,-82.928932,1.5288695856033344e-05
323,30564,226.725525,-82.928932,1.4924999105773118e-05
324,10492,232.469674,-82.928932,1.4854889472095992e-05
325,6226,238.213822,-82.928932,1.4753313509042609e-05
326,7637,243.95797,-82.928932,1.4462091868862513e-05
327,7058,249.702118,-82.928932,1.4363038700627485e-05
328,11177,255.446267,-82.928932,1.3665130863056486e-05
329,14880,261.190415,-82.928932,1.3555358306084423e-05
330,10833,266.934563,-82.928932,1.349520223883828e-05
331,5701,272.678711,-82.928932,1.3282754691031605e-05
332,10832,278.42286,-82.928932,1.3223056610121259e-05
333,11882,284.167008,-82.928932,1.3119959989517148e-05
334,12244,289.911156,-82.928932,1.3019150028204892e-05
335,14107,295.655304,-82.928932,1.2967309477137108e-05
336,32038,301.399453,-82.928932,1.2950523944767958e-05
337,11884,307.143601,-82.928932,1.2748054465637877e-05
338,37055,312.887749,-82.928932,1.269240491454197e-05
339,26211,318.631897,-82.928932,1.2495689036585169e-05
340,11529,324.376046,-82.928932,1.2167182320263825e-05
341,12605,330.120194,-82.928932,1.1964173827664772e-05
342,20276,335.864342,-82.928932,1.1676197354322452e-05
343,8234,341.60849,-82.928932,1.1471931440524644e-05
344,17709,347.352639,-82.928932,1.1397866414544909e-05
345,7342,353.096787,-82.928932,1.135812723088716e-05
346,20721,358.840935,-82.928932,1.1278973542710617e-05
347,7345,4.626929,-82.221825,1.125039335619879e-05
348,5700,9.85167,-82.221825,1.1104764306607715e-05
349,15270,15.07641,-82.221825,1.1026779509709432e-05
350,30074,20.301151,-82.221825,1.1015055895884154e-05
351,18982,25.525891,-82.221825,1.0965187126087504e-05
352,16885,30.750632,-82.221825,1.0935902783077017e-05
353,36548,35.975372,-82.221825,1.0630591392974119e-05
354,35539,41.200113,-82.221825,1.0326460318610151e-05
355,8545,46.424854,-82.221825,9.857440035206415e-06
356,9822,51.649594,-82.221825,9.271107905707657e-06
357,9498,56.874335,-82.221825,9.255278119019011e-06
358,26693,62.099075,-82.221825,8.883497847513112e-06
359,30557,67.323816,-82.221825,8.799696592366456e-06
360,29099,72.548556,-82.221825,8.7779649734071e-06
361,11179,77.773297,-82.221825,8.661327851718053e-06
362,34032,82.998037,-82.221825,8.562175459607054e-06
363,37056,88.222778,-82.221825,8.471991816612662e-06
364,13726,93.447518,-82.221825,8.424699098698601e-06
365,9495,98.672259,-82.221825,8.38379124787934e-06
366,27170,103.897,-82.221825,8.179854105930459e-06
367,36046,109.12174,-82.221825,8.100416967380371e-06
368,37561,114.346481,-82.221825,8.07771790988551e-06
369,37054,119.571221,-82.221825,8.071162996932698e-06
370,10156,124.795962,-82.221825,7.956306589852845e-06
371,6497,130.020702,-82.221825,7.937720739884855e-06
372,7634,135.245443,-82.221825,7.919371756768109e-06
373,16472,140.470183,-82.221825,7.747882767031732e-06
374,22962,145.694924,-82.221825,7.74518108341572e-06
375,36551,150.919664,-82.221825,7.6964149270537e-06
376,5446,156.144405,-82.221825,7.390480618862829e-06
377,29578,161.369146,-82.221825,7.298162549309086e-06
378,11527,166.593886,-82.221825,7.279615618391354e-06
379,12608,171.818627,-82.221825,6.84082415237484e-06
380,5445,177.043367,-82.221825,6.808919824451717e-06
381,17293,182.268108,-82.221825,6.803043863258424e-06
382,6500,187.492848,-82.221825,6.717475884233313e-06
383,14876,192.717589,-82.221825,6.687985594827991e-06
384,10490,197.942329,-82.221825,6.648090882625171e-06
385,31550,203.16707,-82.221825,6.5734604287578834e-06
386,13345,208.39181,-82.221825,6.390698001941291e-06
387,25276,213.616551,-82.221825,6.337032110841433e-06
388,10831,218.841292,-82.221825,6.3246968056418154e-06
389,12973,224.066032,-82.221825,6.102922983792094e-06
390,35543,229.290773,-82.221825,6.054504414700228e-06
391,5960,234.515513,-82.221825,6.04779140584508e-06
392,23880,239.740254,-82.221825,5.946990666241396e-06
393,37562,244.964994,-82.221825,5.90986084527765e-06
394,16067,250.189735,-82.221825,5.6790512616289835e-06
395,27641,255.414475,-82.221825,5.572938021732387e-06
396,28614,260.639216,-82.221825,5.5184002316073015e-06
397,15274,265.863956,-82.221825,5.497059017684251e-06
398,34533,271.088697,-82.221825,5.442360821342304e-06
399,31543,276.313438,-82.221825,5.439574133521611e-06
400,5702,281.538178,-82.221825,5.290401213372887e-06
401,7055,286.762919,-82.221825,5.25281076107596e-06
402,5963,291.987659,-82.221825,5.237953179159226e-06
403,9172,297.2124,-82.221825,5.222903923550134e-06
404,23420,302.43714,-82.221825,5.145028881472634e-06
405,18556,307.661881,-82.221825,5.127822098798787e-06
406,19845,312.886621,-82.221825,5.113110641205856e-06
407,14487,318.111362,-82.221825,4.957685328562698e-06
408,15666,323.336103,-82.221825,4.903481968417193e-06
409,32541,328.560843,-82.221825,4.894956763621687e-06
410,37560,333.785584,-82.221825,4.8278656116454525e-06
411,19412,339.010324,-82.221825,4.826471770751291e-06
412,8854,344.235065,-82.221825,4.807059401067505e-06
413,18551,349.459805,-82.221825,4.711551658112234e-06
414,10493,354.684546,-82.221825,4.681919849156125e-06
415,5196,359.909286,-82.221825,4.511478374549245e-06
416,13722,0.812121,-81.514719,4.47572352553796e-06
417,18128,5.604268,-81.514719,4.40924915374526e-06
418,10834,10.396414,-81.514719,4.316333853724839e-06
419,10153,15.18856,-81.514719,4.256754055757196e-06
420,11530,19.980707,-81.514719,4.236208319316887e-06
421,16072,24.772853,-81.514719,4.098300749198034e-06
422,18133,29.564999,-81.514719,4.00346664784749e-06
423,36042,34.357146,-81.514719,3.977594915269523e-06
424,31049,39.149292,-81.514719,3.905983919185669e-06
425,6777,43.941438,-81.514719,3.899142955175576e-06
426,12241,48.733585,-81.514719,3.894248362560092e-06
427,38068,53.525731,-81.514719,3.8818814250926255e-06
428,4952,58.317878,-81.514719,3.878977078805858e-06
429,25738,63.110024,-81.514719,3.6404417824395034e-06
430,17298,67.90217,-81.514719,3.619454938366132e-06
431,38067,72.694317,-81.514719,3.606105144766249e-06
432,11176,77.486463,-81.514719,3.604004786487616e-06
433,9825,82.278609,-81.514719,3.5891530105573882e-06
434,6773,87.070756,-81.514719,3.57768237380008e-06
435,14103,91.862902,-81.514719,3.523867456932092e-06
436,11885,96.655048,-81.514719,3.499162980873026e-06
437,22502,101.447195,-81.514719,3.4727802722537283e-06
438,5195,106.239341,-81.514719,3.472038219651666e-06
439,18977,111.031487,-81.514719,3.458424013666755e-06
440,23873,115.823634,-81.514719,3.423309828656082e-06
441,13349,120.61578,-81.514719,3.347209149009454e-06
442,24808,125.407926,-81.514719,3.3461407580166754e-06
443,8541,130.200073,-81.514719,3.3390022953652543e-06
444,4713,134.992219,-81.514719,3.322203599996089e-06
445,7931,139.784365,-81.514719,3.3100475765298948e-06
446,8858,144.576512,-81.514719,3.2893431184091118e-06
447,7935,149.368658,-81.514719,3.2722524037287823e-06
448,12977,154.160805,-81.514719,2.9534235413493275e-06
449,35035,158.952951,-81.514719,2.9511346805259334e-06
450,5699,163.745097,-81.514719,2.9258953627650017e-06
451,23413,168.537244,-81.514719,2.9213401485830092e-06
452,6229,173.32939,-81.514719,2.855365972410041e-06
453,24343,178.121536,-81.514719,2.79907475597679e-06
454,38575,182.913683,-81.514719,2.766920623376311e-06
455,4953,187.705829,-81.514719,2.6942242987745865e-06
456,9176,192.497975,-81.514719,2.6740159048525868e-06
457,4951,197.290122,-81.514719,2.62032229607219e-06
458,5447,202.082268,-81.514719,2.582525244260395e-06
459,33538,206.874414,-81.514719,2.511654442216865e-06
460,15671,211.666561,-81.514719,2.5037448475835955e-06
461,4480,216.458707,-81.514719,2.4769951188569153e-06
462,11881,221.250853,-81.514719,2.4470451188181153e-06
463,7059,226.043,-81.514719,2.434189190424048e-06
464,8238,230.835146,-81.514719,2.430731874783615e-06
465,32534,235.627292,-81.514719,2.3715039767039234e-06
466,28606,240.419439,-81.514719,2.3601352768393153e-06
467,22057,245.211585,-81.514719,2.3381858415988685e-06
468,21609,250.003731,-81.514719,2.2667297003955623e-06
469,29586,254.795878,-81.514719,2.2582562638396865e-06
470,21157,259.588024,-81.514719,2.2320391370735347e-06
471,12245,264.380171,-81.514719,2.1758005873115693e-06
472,4712,269.172317,-81.514719,2.1098413152365295e-06
473,7638,273.964463,-81.514719,2.0986336790444104e-06
474,37057,278.75661,-81.514719,2.079691530092607e-06
475,37053,283.548756,-81.514719,2.0482222669786397e-06
476,38574,288.340902,-81.514719,1.9517498207232757e-06
477,36547,293.133049,-81.514719,1.9110100038650366e-06
478,22509,297.925195,-81.514719,1.8944385898699654e-06
479,35041,302.717341,-81.514719,1.8721523080140985e-06
480,4253,307.509488,-81.514719,1.8557925551031168e-06
481,27649,312.301634,-81.514719,1.8532986122304776e-06
482,38069,317.09378,-81.514719,1.8507586901303736e-06
483,37563,321.885927,-81.514719,1.8460457913827814e-06
484,14492,326.678073,-81.514719,1.8392519524623185e-06
485,33032,331.470219,-81.514719,1.8183370920725449e-06
486,20282,336.262366,-81.514719,1.8174759046668201e-06
487,38576,341.054512,-81.514719,1.71793549503383e-06
488,4031,345.846658,-81.514719,1.704140244225512e-06
489,19839,350.638805,-81.514719,1.6860944991588162e-06
490,12604,355.430951,-81.514719,1.6503147329257943e-06
491,6225,4.014276,-80.807612,1.6414169447439523e-06
492,5197,8.440608,-80.807612,1.6322415374355499e-06
493,16886,12.86694,-80.807612,1.615165638470197e-06
494,14881,17.293273,-80.807612,1.5703245430567826e-06
495,4481,21.719605,-80.807612,1.5387928410747703e-06
496,33039,26.145937,-80.807612,1.5190822731967354e-06
497,39082,30.57227,-80.807612,1.5117377841213901e-06
498,16477,34.998602,-80.807612,1.488113903612724e-06
499,38066,39.424934,-80.807612,1.4764456225867445e-06
500,15269,43.851267,-80.807612,1.4450591072262285e-06
501,17714,48.277599,-80.807612,1.4424186807620016e-06
502,9499,52.703931,-80.807612,1.429282012328598e-06
503,20715,57.130264,-80.807612,1.425503592957234e-06
504,50033,61.556596,-80.807612,1.3731891074920523e-06
505,8546,65.982928,-80.807612,1.358600659075294e-06
506,4714,70.409261,-80.807612,1.3525976274048372e-06
507,11180,74.835593,-80.807612,1.3521643790209084e-06
508,34539,79.261925,-80.807612,1.3006536184049378e-06
509,27162,83.688258,-80.807612,1.2922208793246446e-06
510,3814,88.11459,-80.807612,1.278826199270943e-06
511,37559,92.540922,-80.807612,1.2695289108683607e-06
512,32045,96.967255,-80.807612,1.264698051913465e-06
513,16880,101.393587,-80.807612,1.263906408751105e-06
514,49535,105.819919,-80.807612,1.262821473278999e-06
515,29091,110.246252,-80.807612,1.257467671150278e-06
516,25746,114.672584,-80.807612,1.2444401147122613e-06
517,18983,119.098916,-80.807612,1.2317356537155307e-06
518,7346,123.525248,-80.807612,1.223167339121566e-06
519,5444,127.951581,-80.807612,1.221777816562869e-06
520,39083,132.377913,-80.807612,1.1980989048615812e-06
521,11526,136.804245,-80.807612,1.1620085278514777e-06
